Adjectives,Subject,Time Period,Region,About (Buzzword),About,Professor Adjective,Who,For,Other,Class
,Social Sciences,Ottoman Empire,The West Coast,Kinetic,Flirting,Incompetent,makes you memorize 100 digits of pi,"Lovers, not fighters",,"ANTH 24325 Love, Conjugality, and Capital: Intimacy in the Modern World"
,Sociology,Late antiquity,Mars,,Booze,Manic Pixie Dream,kisses and tells,NRA members,,ANTH 24800 Uncanny Modernities
,South Asian Languages and Civilizations,Age of Discovery,Egypt,,Swear words,Thoughtful,frequents Bar Night,Smokers,,ANTH 24805 From the Transhuman to the Postsocial
,Statistics,Tokugawa shogunate,,,Honeybees,Kind,is allergic to peanuts,Conspiracy theorists,,ANTH 25125 Emotions and Culture: Paradigms of Empirical and Theoretical Analysis
,Theater and Performance Studies,Elizabethan,,,Honeybears,Sloppy,owns twelve cats and is proud of it.,Momma's Boys,,ANTH 25200 Approaches to Gender in Anthropology
,Tutorial Studies,Age of Oil,,,Dominque Strauss-Kahn,Accident prone,is prepared for the worst,People with Daddy Issues,,ANTH 25305 Anthropology of Food and Cuisine
,,,,,,,,,,ANTH 25401 Consumption
,,,,,,,,,,ANTH 25410 Anthropology of Everyday Life
,,,,,,,,,,ANTH 25500 Cultural Politics of Contemporary India
,,,,,,,,,,ANTH 25510 Afterlives of Gandhi
,,,,,,,,,,ANTH 25710 Global Society and Global Culture: Paradigms of Social and Cultural  Analysis
,,,,,,,,,,ANTH 25900 South Asia Before the Buddha
,,,,,,,,,,ANTH 25905 Introduction to the Musical Folklore of Central Asia
,,,,,,,,,,ANTH 25906 Shamans and Oral Poets of Central Asia
,,,,,,,,,,ANTH 26020 Archaeology of Modernity
,,,,,,,,,,ANTH 26505 Non-Industrial Agriculture
,,,,,,,,,,ANTH 26715 The Rise of the State in the Near East
,,,,,,,,,,ANTH 26830 Archaeology of Religious Experience
,,,,,,,,,,ANTH 26900 Archaeological Data Sets
,,,,,,,,,,"ANTH 27130 America: Society, Polity, and Speech Community"
,,,,,,,,,,ANTH 27505 Professional Persuasions: The Rhetoric of Expertise in Modern Life
,,,,,,,,,,ANTH 27510 The Politics of Translation
,,,,,,,,,,"ANTH 27605 Language, Culture, and Thought"
,,,,,,,,,,ANTH 27700 Romani Language and Linguistics
,,,,,,,,,,ANTH 28010 Introduction to Biological Anthropology
,,,,,,,,,,ANTH 28100 Evolution of the Hominoidea
,,,,,,,,,,ANTH 28210 Colonial Ecologies
,,,,,,,,,,ANTH 28300 Comparative Primate Morphology
,,,,,,,,,,ANTH 28400 Bioarchaeology and the Human Skeleton
,,,,,,,,,,ANTH 28410 Zooarchaeology
,,,,,,,,,,ANTH 28510 Anthropology of Space/Place
,,,,,,,,,,ANTH 28600 Apes and Human Evolution
,,,,,,,,,,ANTH 29105 Pollen Analysis
,,,,,,,,,,ANTH 29500 Archaeology Laboratory Practicum
,,,,,,,,,,ANTH 29700 Readings in Anthropology
,,,,,,,,,,ANTH 29900 Preparation of Bachelor's Essay
,,,,,,,,,,ANTH 29910 Bachelor's Essay Seminar
,,,,,,,,,,ANTH 30415 American Legal Culture
,,,,,,,,,,ANTH 34814 Anthropology and Literature: World Poetry
,,,,,,,,,,ANTH 36200 Ceramic Analysis for Archaeologists
,,,,,,,,,,ANTH 36700 Archaeology of Race and Ethnicity
,,,,,,,,,,ANTH 37500 Morphology
,,,,,,,,,,ANTH 39205 Landscape History and Place-Making
,,,,,,,,,,ARAB 10101 Elementary Arabic I
,,,,,,,,,,ARAB 10102 Elementary Arabic II
,,,,,,,,,,ARAB 10103 Elementary Arabic III
,,,,,,,,,,ARAB 10254 Colloquial Arabic
,,,,,,,,,,ARAB 20101 Intermediate Arabic I
,,,,,,,,,,ARAB 20102 Intermediate Arabic II
,,,,,,,,,,ARAB 20103 Intermediate Arabic III
,,,,,,,,,,ARAB 20390 Arabic in Social Context
,,,,,,,,,,ARAB 20590 Arabic in al-Andalus
,,,,,,,,,,ARAB 30201 High Intermediate Modern Standard Arabic I
,,,,,,,,,,ARAB 30202 High Intermediate Modern  Standard Arabic II
,,,,,,,,,,ARAB 30203 High Intermediate Modern Standard Arabic-III
,,,,,,,,,,ARAB 30301 High Intermediate Classical Arabic I
,,,,,,,,,,ARAB 30302 High Intermediate Classical Arabic II
,,,,,,,,,,ARAB 30303 High Intermediate Classical Arabic III
,,,,,,,,,,ARAB 30381 Introduction to Arabic Poetry
,,,,,,,,,,ARAB 40101 Advanced Arabic Syntax I
,,,,,,,,,,ARAB 40102 Advanced Arabic Syntax II
,,,,,,,,,,ARAB 30349 Shi 'a Poetry
,,,,,,,,,,ARAM 10101 Biblical Aramaic
,,,,,,,,,,ARAM 10102 Old Aramaic Inscriptions
,,,,,,,,,,ARAM 10103 Imperial Aramaic
,,,,,,,,,,ARAM 10401 Elementary Syriac I
,,,,,,,,,,ARAM 10402 Elementary Syriac II
,,,,,,,,,,ARAM 10403 Elementary Syriac III
,,,,,,,,,,ARME 10101 Elementary Modern Armenian I
,,,,,,,,,,ARME 10102 Elementary Modern Armenian II
,,,,,,,,,,ARME 10103 Elementary Modern Armenian III
,,,,,,,,,,ARME 10501 Introduction to Classical Armenian
,,,,,,,,,,ARME 20101 Intermediate Modern Armenian I
,,,,,,,,,,ARME 20102 Intermediate Modern Armenian II
,,,,,,,,,,ARME 20103 Intermediate Modern Armenian III
,,,,,,,,,,ARTH 10100 Introduction to Art
,,,,,,,,,,ARTH 14107 Greek Art and Archaeology
,,,,,,,,,,ARTH 14200 From Missionary Images to Image Explosion: Introduction to Medieval Art
,,,,,,,,,,ARTH 14211 Introduction to African Art
,,,,,,,,,,ARTH 14400 Italian Renaissance Art
,,,,,,,,,,"ARTH 15510 The Visual Arts in American Culture, 1830–1945"
,,,,,,,,,,ARTH 15600 Twentieth-Century Art
,,,,,,,,,,ARTH 15610 Imitation of Life: Art in the Twentieth Century
,,,,,,,,,,ARTH 16800 Art of Asia: Japan
,,,,,,,,,,ARTH 17107 Chinese Calligraphy and Civilization
,,,,,,,,,,ARTH 17200 Nineteenth-Century Art in the Art Institute
,,,,,,,,,,ARTH 17207 Image and Word in Chinese Art
,,,,,,,,,,ARTH 17211 Arts of Medieval Japan
,,,,,,,,,,ARTH 17400 University of Chicago Campus
,,,,,,,,,,ARTH 17410 Frank Lloyd Wright in Chicago and Beyond
,,,,,,,,,,ARTH 17710 Sinotopos: Chinese Landscape Representation and Interpretation
,,,,,,,,,,ARTH 17711 Art in the Conquest of the Americas
,,,,,,,,,,ARTH 17800 Leonardo and Michelangelo: Their Art in Context
,,,,,,,,,,ARTH 17811 Art Now
,,,,,,,,,,ARTH 17903 1900 in the Smart Museum
,,,,,,,,,,ARTH 18000 Photography and Film
,,,,,,,,,,ARTH 18100 The Image of Space
,,,,,,,,,,ARTH 18305 New Art in Chicago Museums and Other Spaces
,,,,,,,,,,ARTH 22609 Skills and Methods in Chinese Painting History
,,,,,,,,,,ARTH 23700 Raphael and the High Renaissance
,,,,,,,,,,ARTH 24710 Japan and the World in 19th Century Art
,,,,,,,,,,ARTH 24811 From the Abject to the Sublime: The Body in Medieval Art and Visual Culture
,,,,,,,,,,ARTH 24812 Museums and Art
,,,,,,,,,,ARTH 26400 The History of Photography in America
,,,,,,,,,,ARTH 26409 Photography and American Cultural Memory
,,,,,,,,,,ARTH 26600 Early 20th-Century Urban Visions
,,,,,,,,,,ARTH 26611 Abstraction
,,,,,,,,,,ARTH 26612 Circa 1650: Art in a Global Age
,,,,,,,,,,"ARTH 26711 Florentine Topographies:  Art, Architecture, and Urban Life in the Italian Renaissance City"
,,,,,,,,,,"ARTH 26712 Wassily Kandinsky: Artist, Designer, Writer, Teacher"
,,,,,,,,,,ARTH 27509 Reading Artists Writing
,,,,,,,,,,ARTH 28712 Histories of Collage
,,,,,,,,,,ARTH 29600 Junior Seminar: Doing Art History
,,,,,,,,,,ARTH 29700 Reading Course
,,,,,,,,,,ARTH 29800 Senior Seminar: Writing Workshop
,,,,,,,,,,ARTH 29900 Preparation for the Senior Paper
,,,,,,,,,,ARTV 10100 Visual Language: On Images
,,,,,,,,,,ARTV 10200 Visual Language: On Objects
,,,,,,,,,,ARTV 10300 Visual Language: On Time and Space
,,,,,,,,,,ARTV 15000 Art Practice and Theory
,,,,,,,,,,ARTV 21001 Figure Drawing: Trans/Figuration
,,,,,,,,,,ARTV 21900 Color Theory and Practice
,,,,,,,,,,ARTV 22200 Introduction to Sculpture
,,,,,,,,,,ARTV 22300 Sculpture
,,,,,,,,,,ARTV 22501 Digital Imaging
,,,,,,,,,,ARTV 22502 Data and Algorithm in Art
,,,,,,,,,,ARTV 23804 Experimental Animation
,,,,,,,,,,ARTV 23850 Introduction to Film Production
,,,,,,,,,,ARTV 23930 Documentary Production I
,,,,,,,,,,ARTV 23931 Documentary Production II
,,,,,,,,,,ARTV 24000 Introduction to Black and White Film Photography
,,,,,,,,,,ARTV 24115 Performance Installation I
,,,,,,,,,,ARTV 24116 Performance Installation II
,,,,,,,,,,ARTV 24201 Collage
,,,,,,,,,,ARTV 24202 Art and Everyday Materials
,,,,,,,,,,ARTV 24301 Writing for Performance
,,,,,,,,,,ARTV 24550 Shopcraft: Methods and Materials
,,,,,,,,,,ARTV 24703 Mixed-Media Drawing
,,,,,,,,,,ARTV 24704 Large-Scale Drawing
,,,,,,,,,,"ARTV 24705 Drawing from Life, Culture, and Thought"
,,,,,,,,,,ARTV 24800 Foucault and The History of Sexuality
,,,,,,,,,,ARTV 25300 Introduction to Film Analysis
,,,,,,,,,,ARTV 25400 Theories of Media
,,,,,,,,,,ARTV 26000 Introduction to Stage Design
,,,,,,,,,,ARTV 26210 Food for Thought
,,,,,,,,,,ARTV 26212 Embedded
,,,,,,,,,,"ARTV 26213 Hauntology: Ghosts, Specters and Other Paranormal Phenomena in Contemporary Art and Beyond"
,,,,,,,,,,ARTV 26300 The History of Photography in America
,,,,,,,,,,ARTV 26500 History of International Cinema I: Silent Era
,,,,,,,,,,ARTV 26600 History of International Cinema II: Sound Era to 1960
,,,,,,,,,,ARTV 26750 Chicago Film History
,,,,,,,,,,ARTV 27200 Painting
,,,,,,,,,,ARTV 27201 Seminar/Independent Projects: Issues in Contemporary Painting
,,,,,,,,,,ARTV 29600 Junior Seminar
,,,,,,,,,,ARTV 29700 Independent Study in Visual Arts
,,,,,,,,,,ARTV 29850 Senior Seminar
,,,,,,,,,,ARTV 29900 Senior Project
,,,,,,,,,,BIOS 00199 Undergraduate Research
,,,,,,,,,,BIOS 00206 Readings: Biology
,,,,,,,,,,BIOS 00298 Undergraduate Research Seminar
,,,,,,,,,,BIOS 00299 Adv Rsch: Biological Sciences
,,,,,,,,,,BIOS 02490 Biology and Sociology of AIDS
,,,,,,,,,,BIOS 10130 Core Biology 2010
,,,,,,,,,,BIOS 10450 Pharmacological Perspectives in Cell and Molecular Biology
,,,,,,,,,,BIOS 10451 Pharmacological Perspectives II
,,,,,,,,,,BIOS 10500 Metabolism and Exercise
,,,,,,,,,,BIOS 10501 Metabolism and Nutrition
,,,,,,,,,,"BIOS 10600 The Structure of Life: Information, Shape, and Dynamics"
,,,,,,,,,,BIOS 10601 The Numbers on Drugs: A Quantitative Introduction to Pharmacology
,,,,,,,,,,BIOS 11119 The Biology of Gender
,,,,,,,,,,BIOS 11125 Life through a Genomic Lens
,,,,,,,,,,BIOS 11128 Introduction to Human Genetics
,,,,,,,,,,BIOS 11129 Human Use and Abuse of Biological Molecules
,,,,,,,,,,BIOS 11131 Topics in Biotechnology
,,,,,,,,,,BIOS 12107 Cell Biology of Physiological Stress
,,,,,,,,,,BIOS 12114 Nutritional Science
,,,,,,,,,,BIOS 12115 Responses of Cardiopulmonary System to Stress
,,,,,,,,,,BIOS 12116 The Human Body in Health and Disease
,,,,,,,,,,BIOS 12118 The Descent of Man: Human Health across the Ages
,,,,,,,,,,BIOS 13107 Environmental Ecology
,,,,,,,,,,BIOS 13109 Ecology
,,,,,,,,,,BIOS 13111 Natural History of North American Deserts
,,,,,,,,,,BIOS 13112 Natural History of North American Deserts: Field School
,,,,,,,,,,"BIOS 13113 Prairie Ecosystems: Lessons of Sustainability in the Past, Present, and Future"
,,,,,,,,,,BIOS 13115 From So Simple a Beginning: Evolution
,,,,,,,,,,BIOS 13125 Ecology and the Environment
,,,,,,,,,,BIOS 13126 Tropical Ecology: Biodiversity and Human Impacts
,,,,,,,,,,BIOS 13127 Evolution and Intelligent Design
,,,,,,,,,,BIOS 13128 Plant-Animal Interactions
,,,,,,,,,,BIOS 13129 Environmental Science: A Microbiology Toolkit for the Modern Age
,,,,,,,,,,BIOS 13140 The Public and Private Lives of Insects
,,,,,,,,,,BIOS 14107 Workings of the Human Brain
,,,,,,,,,,BIOS 14112 Workings of the Human Brain:  From Brain to Behavior
,,,,,,,,,,BIOS 14114 Drugs Galore:  What They Are and What They Do To You
,,,,,,,,,,BIOS 15106 Plagues: Past and Present
,,,,,,,,,,BIOS 15109 The Origins of Cancer
,,,,,,,,,,BIOS 15112 Biological Poisons and Toxins
,,,,,,,,,,BIOS 15114 Eliminating Infectious Disease
,,,,,,,,,,BIOS 15115 Cancer Biology: How Good Cells Go Bad
,,,,,,,,,,BIOS 15119 Immunology: Light and Tasty
,,,,,,,,,,BIOS 20150 A Serious Introduction to Biology for Majors: From LUCA to the University of Chicago
,,,,,,,,,,BIOS 20151 Introduction to Quantitative Modeling in Biology
,,,,,,,,,,BIOS 20170 Human Cell Biology
,,,,,,,,,,BIOS 20171 Human Genetics and Developmental Biology
,,,,,,,,,,BIOS 20172 Mathematical Modeling for Pre-Med Students I
,,,,,,,,,,BIOS 20173 Human Physiology
,,,,,,,,,,BIOS 20174 Mathematical Modeling for Pre-med Students II
,,,,,,,,,,BIOS 20175 Biochemistry and Nutrition
,,,,,,,,,,BIOS 20186 Fundamentals of Cell and Molecular Biology
,,,,,,,,,,BIOS 20187 Fundamentals of Genetics
,,,,,,,,,,BIOS 20188 Fundamentals of Physiology
,,,,,,,,,,BIOS 20189 Fundamentals of Developmental Biology
,,,,,,,,,,BIOS 20196 Ecology and Conservation
,,,,,,,,,,BIOS 20197 Evolution and Ecology
,,,,,,,,,,BIOS 20198 Biodiversity
,,,,,,,,,,BIOS 20200 Introduction to Biochemistry
,,,,,,,,,,BIOS 20242 Principles of Physiology
,,,,,,,,,,BIOS 20243 From Neurons to Behavior: The Morphological and Physiological Basis of Movement
,,,,,,,,,,BIOS 20246 Photons to Consciousness
,,,,,,,,,,"BIOS 20249 Genome Informatics: Genome Organization, Expression, and Transmission"
,,,,,,,,,,BIOS 20256 Developmental Genetics and Evolution
,,,,,,,,,,BIOS 20258 From Atomic Coordinate to Protein Function
,,,,,,,,,,BIOS 20260 Chordate Evolutionary Biology
,,,,,,,,,,BIOS 21206 Human Evolution and Disease
,,,,,,,,,,BIOS 21207 Cell Biology
,,,,,,,,,,BIOS 21208 Fundamentals of Molecular Biology
,,,,,,,,,,BIOS 21216 Introductory Statistical Genetics
,,,,,,,,,,BIOS 21229 Genome Informatics: How Cells Reorganize Genomes
,,,,,,,,,,BIOS 21236 Genetics of Model Organisms
,,,,,,,,,,BIOS 21237 Developmental Mechanisms
,,,,,,,,,,BIOS 21306 Human Genetics and Evolution
,,,,,,,,,,BIOS 21317 Topics in Biological Chemistry
,,,,,,,,,,BIOS 21328 Biophysics of Biomolecules
,,,,,,,,,,BIOS 21329 Protein Post-Translational Modifications
,,,,,,,,,,BIOS 21338 Epithelial Cell Biology
,,,,,,,,,,BIOS 21356 Vertebrate Developmental Biology
,,,,,,,,,,BIOS 21357 Extracellular Matrices: Chemistry and Biology
,,,,,,,,,,"BIOS 21358 Simulation, Modeling, and Computation in Biophysics"
,,,,,,,,,,BIOS 21407 Image Processing in Biology
,,,,,,,,,,BIOS 22222 Exercise Physiology
,,,,,,,,,,BIOS 22226 Human Developmental Biology
,,,,,,,,,,BIOS 22233 Comparative Vertebrate Anatomy
,,,,,,,,,,BIOS 22242 Biological Fluid Mechanics
,,,,,,,,,,BIOS 22243 Biomechanics of Organisms
,,,,,,,,,,BIOS 22244 Introduction to Invertebrate Biology
,,,,,,,,,,BIOS 22247 Principles of Pharmacology
,,,,,,,,,,BIOS 22249 Principles of Toxicology
,,,,,,,,,,BIOS 22260 Vertebrate Structure and Function
,,,,,,,,,,BIOS 23100 Dinosaur Science
,,,,,,,,,,BIOS 23232 Ecology and Evolution in the Southwest
,,,,,,,,,,BIOS 23233 Ecology and Evolution in the Southwest: Field School
,,,,,,,,,,BIOS 23241 Primate Evolution
,,,,,,,,,,BIOS 23247 Bioarchaeology and the Human Skeleton
,,,,,,,,,,BIOS 23248 Primate Behavior and Ecology
,,,,,,,,,,BIOS 23249 Animal Behavior
,,,,,,,,,,BIOS 23252 Field Ecology
,,,,,,,,,,BIOS 23253 Apes and Human Evolution
,,,,,,,,,,BIOS 23254 Mammalian Ecology
,,,,,,,,,,BIOS 23255 Principles of Paleontology
,,,,,,,,,,BIOS 23258 Molecular Evolution I: Fundamentals and Principles
,,,,,,,,,,BIOS 23259 Molecular Evolution II: Genes and Genomes
,,,,,,,,,,BIOS 23261 Invertebrate Paleobiology and Evolution
,,,,,,,,,,BIOS 23266 Evolutionary Adaptation
,,,,,,,,,,BIOS 23281 Evolutionary Aspects of Gene Regulation
,,,,,,,,,,BIOS 23286 An Introduction to Population Genetics
,,,,,,,,,,BIOS 23289 Marine Ecology
,,,,,,,,,,BIOS 23299 Plant Development and Molecular Genetics
,,,,,,,,,,BIOS 23404 Reconstructing the Tree of Life: An Introduction to Phylogenetics
,,,,,,,,,,BIOS 23406 Biogeography
,,,,,,,,,,BIOS 23409 The Ecology and Evolution of Infectious Diseases
,,,,,,,,,,"BIOS 23410 Complex Interactions: Coevolution, Parasites, Mutualists, and Cheaters"
,,,,,,,,,,BIOS 24203 Introduction to Neuroscience
,,,,,,,,,,BIOS 24204 Cellular Neurobiology
,,,,,,,,,,BIOS 24205 Systems Neuroscience
,,,,,,,,,,BIOS 24208 Survey of Systems Neuroscience
,,,,,,,,,,BIOS 24217 Conquest of Pain
,,,,,,,,,,BIOS 24218 Molecular Neurobiology
,,,,,,,,,,BIOS 24231 Methods in Computational Neuroscience
,,,,,,,,,,BIOS 24232 Computational Approaches fo Cognitive Neuroscience
,,,,,,,,,,BIOS 24239 Cellular Mechanisms of Learning
,,,,,,,,,,BIOS 24246 Neurobiology of Disease I
,,,,,,,,,,BIOS 24247 Neurobiology of Disease II
,,,,,,,,,,BIOS 25108 Cancer Biology
,,,,,,,,,,BIOS 25109 Topics in Reproduction and Cancer
,,,,,,,,,,BIOS 25126 Animal Models of Human Disease
